site_index,English_Quote,Persian_Quote,Prise_Writer
24332,"Dr. Azimi shows with great skill the inherent structural weaknesses in the Iranian constitution - especially the inter-relationship between the Majlis, Court and Cabinet - which contributed to a stalemate in effective government. The thoroughness and detail of the research make this an indispensable introduction for every student of the period.",دکتر عظیمی با مهارت فراوان ضعف های ساختاری ذاتی قانون اساسی ایران - به ویژه روابط متقابل مجلس، دیوان و کابینه - را نشان می دهد که به بن بست رسیدن دولتی کارآمد منجر شد. دقت و جزئیات پژوهش، این اثر را به مقدمه ای ضروری برای همه دانشجویان تبدیل کرده است.,"John Gurney, Wadham College, Oxford"
1717,It will change your life.,این کتاب، زندگیتان را دگرگون خواهد کرد.,People
1717,It does drastically change your life.,این اثر تغییر بزرگی در زندگیتان به وجود می آورد.,Buzzfeed
1717,By the most organized woman in the world!,نوشته ی منظم ترین زن در جهان!,Pure Wow
122,An exquisite novel of mesmerizing depth and suspense.,رمانی ارزشمند با ژرفا و تعلیقی مسحورکننده.,Los Angeles Times
122,An especially satisfying crime novel.,یک رمان جنایی خاص و راضی کننده.,Wall Street Journal
122,"Intelligent, moving and topical, this is a thriller of the very best kind.",هوشمندانه، تکان دهنده و به روز، یک اثر تریلر در بهترین نوع خود.,Times
34357,Judt has packed a great deal of wisdom into this short book.,«جات» خرد قابل توجهی را در این کتاب کوتاه گنجانده است.,Barnes & Noble
34357,A compelling work.,اثری هیجان انگیز.,Publishers Weekly
34357,"A gift to the next generations, from one of our most celebrated intellectuals.",هدیه ای به نسل های آینده، از طرف یکی از تحسین شده ترین اندیشمندان عصر ما.,Amazon
29724,"With compassion and sparkling clarity, Jasmin Lee Cori describes the effects of being under-mothered and what it takes to overcome them.",یاسمین لی کوری با دلسوزی و شفافیت درخشان ، اثرات بی مادری و آنچه برای غلبه بر آنها لازم است را بیان می کند.,"Evelyn Bassoff, PhD"
29724,This book effortlessly intertwines neuroscience with clinical acumen in a lovely work of extraordinary depth.,این کتاب در یک اثر دوست داشتنی با عمقی فوق العاده ، علوم عصبی و تیزبینی بالینی را به هم می آمیزد.,Kate Crowley
4788,"Like Anton Chekhov, Mr. Klima is a writer able to show us what's extraordinary about ordinary life.",آقای کلیما، مثل آنتون چخوف، نویسنده ای است که می تواند به ما نشان دهد چه چیزهای خارق العاده ای در رابطه با زندگی عادی وجود دارد.,The Washington Times
4788,Stirring and valuable.,برانگیزاننده و ارزشمند.,The Hartford Courant
4788,"A compelling, bleak story.",داستانی هیجان انگیز و بی پرده.,Publishers Weekly
365,Simple and evocative.,ساده و احساس برانگیز.,School Library Journal
365,Lucky is a true heroine.,لاکی یک قهرمان زن واقعی است.,Booklist
365,A small gem.,گوهری کوچک.,Kirkus Reviews
102759,"This short book exemplifies Williamson's approach to philosophy: it is clear, igorous and unafraid of confrontation with opposing ideas. For the general reader it is, like his earlier Tetralogue, an excellent invitation to philosophy: provocative but considerate, exacting yet encouraging.",این کتاب کوتاه نمونه ای از رویکرد ویلیامسون به فلسفه است: این کتاب روشن، بی رحمانه است و از رویارویی با ایده های متضاد هراسی ندارد. برای خوانندگان عام، مانند چهارتالوگ قبلی او، دعوتی عالی به فلسفه است: تحریک آمیز اما با ملاحظه، دقیق و در عین حال دلگرم کننده.,Jonathan Egid
885,The Nobel Prize-winner’s literary masterpiece.,شاهکاری ادبی از برنده ی جایزه ی نوبل ادبیات.,Barnes & Noble
885,Knut Hamsun’s writing is magical.,قلم کنوت هامسون، جادویی است.,New York Times Book Review
885,"With Mysteries, Knut Hamsun rewrote the novel's rules.",کنوت هامسون با رمان رازها، قواعد رمان نویسی را از نو نوشت.,Guardian
46658,An enjoyable story with well-developed characters.,داستانی لذت بخش با کاراکترهای خوش-ساخت.,Publishers Weekly
46658,"A fast-paced, dark, and entertaining thriller.",تریلری سریع، تاریک و سرگرم کننده.,Los Angeles Times
46658,"Marrs's engrossing, believable thriller raises intriguing questions about our science-tinged future.",این تریلر مهیج و باورپذیر از «مارس»، سوالات جذابی را درباره آینده علم-محور ما مطرح می کند.,Booklist
53884,Cavanagh’s stellar debut with an original and compelling lead.,اثر نخست درخشان «کاوانا» با یک شخصیت اصلی بدیع و باورپذیر.,Publishers Weekly
53884,A lot like a courtroom drama that Lee Child might write about Jack Reacher's younger brother.,با شباهت زیاد به درامایی در دادگاه که «لی چایلد» ممکن است درباره برادر کوچکتر «جک ریچر» بنویسد.,Irish Times
53884,An action-packed and highly entertaining debut.,یک اثر نخست پرحادثه و بسیار سرگرم کننده.,Irish Independent
1216,"Funny, vibrant, terrifying, beautiful, and utterly delightful.",بامزه، سرزنده، ترسناک، زیبا و فوق العاده لذت بخش.,Boston Globe
1216,Astonishing. . . . Powerful.,خیره کننده... قدرتمند.,NPR
1216,"Pure, simple and stunning. . . . Endearing, subtle, quite brilliant.",خالص، ساده و حیرت انگیز... دوست داشتنی، پرظرافت و کاملا درخشان.,San Francisco Chronicle
584,The reader is held in breathless anticipation until the novel's unforeseen conclusion.,مخاطب تا پایان بندی غیرقابل پیش بینی رمان، در انتظاری نفسگیر باقی می ماند.,Barnes & Noble
584,The novel scores on every front.,این رمان از هر نظر موفق است.,Times
584,"An intelligent, utterly engrossing thriller.",تریلری هوشمندانه و بسیار هیجان انگیز.,Washington Post
19956,A modern classic.,یک اثر کلاسیک مدرن.,Barnes & Noble
19956,A warm-hearted dream of a book.,کتابی که مثل یک رویای پراحساس است.,Guardian
19956,Full of exciting adventures.,آکنده از ماجراجویی های مهیج.,Horn Book
